stage,region,school,team,games,wins,win_rate,base_damage_total,base_damage_per_game,base_17_share,base_42_share,base_dart_share,base_damage_game_rate,median_first_base_hit_s,base_damage_received_per_game,outpost_damage_per_game,shots_per_game,hero_shots_per_game,infantry_shots_per_game,sentry_shots_per_game,enemy_half_rate,deep_rate,early_enemy_half_rate,mean_x,distance_per_game_m,sentry_mean_x,hero_mean_x,engineer_mean_x,terrain_status,terrain_game_rate,terrain_games,terrain_runs,terrain_seconds_per_game,terrain_roles,style
全国赛直通,南部赛区,华南农业大学,Taurus,20,16,0.8,27119.0,1355.95,0.3362587116044102,0.4489472325675726,0.21479405582801725,0.85,187.0,265.1,1612.5,1087.65,33.1,330.1,213.1,0.23040638606676342,0.035900281738239566,0.150472334682861,10.005453235721031,888.5833129917808,6.6145939146469885,9.112297613248945,9.224919142717964,中央高地已观察,1.0,20,601,194.95,英雄、工程、步兵3、步兵4,重前哨压制、混合磨基
全国赛直通,南部赛区,五邑大学,IMCA,15,12,0.8,32890.0,2192.6666666666665,0.5918212222560049,0.383855275159623,0.024323502584372148,1.0,184.0,779.2666666666667,1600.0,1299.8,28.2,450.4,228.66666666666666,0.2255336505778382,0.07488783140720598,0.12001481664403013,10.893017049626135,1041.6869981289044,9.907962101063827,6.118612221680482,10.845944390243892,中央高地已观察,1.0,15,507,191.33333333333334,英雄、工程、步兵3、步兵4,多兵种深压、哨兵前压、重前哨压制、17mm持续磨基
全国赛直通,南部赛区,广州城市理工学院,野狼,20,13,0.65,20905.0,1045.25,0.01698158335326477,0.7247070078928486,0.25831140875388664,1.0,189.5,1019.4,1537.5,1146.5,33.15,308.3,186.5,0.21358719514628988,0.031153953618329143,0.12308121685738208,9.694901468885888,880.0779053920714,7.848999759528668,5.24690950334289,8.573095215311037,中央高地已观察,1.0,20,361,164.1,工程、步兵3、步兵4、哨兵,重前哨压制、英雄42mm炮击
全国赛直通,南部赛区,东莞理工学院,ACE,22,12,0.5454545454545454,19036.0,865.2727272727273,0.01765076696785039,0.8720319394830847,0.11031729354906493,0.8636363636363636,172.0,1047.9545454545455,1534.090909090909,1274.8636363636363,28.5,423.0,114.9090909090909,0.15416582014295477,0.0036200432188833276,0.1169020111253744,9.114079086862503,877.6849809779228,9.738184808743197,4.527698117338016,9.715704965486587,中央高地已观察,1.0,22,509,178.5,工程、步兵3、步兵4、哨兵,稳守反击、哨兵前压、重前哨压制、英雄42mm炮击
全国赛直通,南部赛区,电子科技大学中山学院,RoboBraver,13,8,0.6153846153846154,3992.0,307.0769230769231,0.06062124248496994,0.2379759519038076,0.7014028056112225,0.9230769230769231,256.0,456.7692307692308,1500.0,872.6153846153846,28.76923076923077,281.6923076923077,9.692307692307692,0.17205656317245618,0.004027051952044267,0.06728971962616823,9.498817122655986,988.2023876460274,8.20643723265764,9.675997058282752,9.513344028189904,中央高地已观察,1.0,13,395,276.38461538461536,英雄、工程、步兵3、步兵4、哨兵,重前哨压制、高地转点活跃
全国赛直通,南部赛区,华南理工大学,华南虎,17,11,0.6470588235294118,8658.0,509.29411764705884,0.4917994917994918,0.2541002541002541,0.2541002541002541,0.7647058823529411,232.0,182.35294117647058,1462.3529411764705,1266.6470588235295,18.705882352941178,397.52941176470586,379.5882352941176,0.24162633107454018,0.03153436592449177,0.14936452592509278,10.474200000000012,1217.3470659406207,8.30288193956427,10.313695707427309,9.16977299578056,中央高地已观察,1.0,17,711,393.88235294117646,英雄、工程、步兵3、步兵4、哨兵,高地转点活跃、17mm持续磨基
全国赛直通,南部赛区,上海交通大学,交龙,11,8,0.7272727272727273,5528.0,502.54545454545456,0.8552821997105644,0.1447178002894356,0.0,0.6363636363636364,326.0,327.1818181818182,1500.0,706.1818181818181,21.09090909090909,374.09090909090907,42.36363636363637,0.2422720389998892,0.058389038667503786,0.12654109589041096,11.194251541899076,1243.3655825774129,9.218896267361117,11.736151555261447,8.956937608695661,中央高地已观察,1.0,11,431,350.1818181818182,英雄、工程、步兵3、步兵4、哨兵,多兵种深压、哨兵前压、重前哨压制、高地转点活跃
全国赛直通,南部赛区,仲恺农业工程学院,奇点,12,8,0.6666666666666666,3047.0,253.91666666666666,0.8687233344273055,0.13127666557269446,0.0,0.75,336.0,143.5,1438.3333333333333,1269.3333333333333,10.5,476.25,263.5,0.32496630727762804,0.03938679245283019,0.19437902339456745,11.847141475741182,1054.0844728051943,10.1175777645187,11.34852397483182,10.124459204180065,中央高地已观察,1.0,12,511,388.3333333333333,英雄、工程、步兵3、步兵4,中线前压、哨兵前压、高地转点活跃
全国赛直通,南部赛区,深圳大学,RobotPilots,13,10,0.7692307692307693,15437.0,1187.4615384615386,0.4380384789790762,0.2785515320334262,0.2834099889874976,0.6153846153846154,260.5,190.15384615384616,1451.5384615384614,871.2307692307693,14.538461538461538,359.46153846153845,249.30769230769232,0.23634970304617153,0.0755156778849224,0.10136539032353814,10.536087361900533,980.7205687483048,11.342828707958079,11.5455128665469,8.254401665124881,中央高地已观察,1.0,13,491,459.0,英雄、工程、步兵3、步兵4、哨兵,多兵种深压、哨兵前压、高地转点活跃、混合磨基
全国赛直通,南部赛区,武汉工程大学,Nautilus,18,11,0.6111111111111112,15437.0,857.6111111111111,0.4072682516032908,0.5927317483967092,0.0,0.7222222222222222,299.0,512.8333333333334,1486.8333333333333,938.5555555555555,27.555555555555557,510.55555555555554,165.55555555555554,0.197829506851189,0.035338911561523904,0.13843544625821497,9.204507580766476,892.4571050858658,8.474118385889918,4.874849489457643,9.602769159250927,中央高地已观察,1.0,18,502,183.77777777777777,工程、步兵3、步兵4、哨兵,英雄42mm炮击
